device_id,user_id,ts,event_type,old_value,new_value,trigger_source,user_feedback,preference_profile
esp32-room-a,user-b,2026-05-04T19:31:00+07:00,setpoint_change,27.86,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-04T21:35:00+07:00,setpoint_change,27.86,29.57,app,,prefers_warmer
esp32-room-a,user-b,2026-05-04T22:08:00+07:00,setpoint_change,27.86,27.1,app,,prefers_cooler
esp32-room-a,user-a,2026-05-05T07:41:00+07:00,setpoint_change,28.18,29.18,app,,prefers_warmer
esp32-room-a,user-b,2026-05-05T08:26:00+07:00,setpoint_change,28.18,27.3,app,,prefers_cooler
esp32-room-a,user-a,2026-05-05T12:10:00+07:00,setpoint_change,28.18,29.18,app,,prefers_warmer
esp32-room-a,user-b,2026-05-05T12:59:00+07:00,setpoint_change,28.18,27.38,app,,prefers_cooler
esp32-room-a,user-a,2026-05-05T18:47:00+07:00,setpoint_change,27.88,29.41,app,,prefers_warmer
esp32-room-a,user-b,2026-05-05T19:22:00+07:00,setpoint_change,27.88,27.15,app,,prefers_cooler
esp32-room-a,user-a,2026-05-05T21:36:00+07:00,setpoint_change,27.88,29.58,app,,prefers_warmer
esp32-room-a,user-b,2026-05-05T22:16:00+07:00,setpoint_change,27.88,27.06,app,,prefers_cooler
esp32-room-a,user-a,2026-05-06T07:39:00+07:00,setpoint_change,28.17,29.12,app,,prefers_warmer
esp32-room-a,user-b,2026-05-06T08:36:00+07:00,setpoint_change,28.17,27.3,app,,prefers_cooler
esp32-room-a,user-a,2026-05-06T12:09:00+07:00,setpoint_change,28.17,29.27,app,,prefers_warmer
esp32-room-a,user-b,2026-05-06T12:52:00+07:00,setpoint_change,28.17,27.44,app,,prefers_cooler
esp32-room-a,user-a,2026-05-06T18:49:00+07:00,setpoint_change,27.87,29.55,app,,prefers_warmer
esp32-room-a,user-b,2026-05-06T19:31:00+07:00,setpoint_change,27.87,27.15,app,,prefers_cooler
esp32-room-a,user-a,2026-05-06T21:33:00+07:00,setpoint_change,27.87,29.39,app,,prefers_warmer
esp32-room-a,user-b,2026-05-06T22:15:00+07:00,setpoint_change,27.87,27.05,app,,prefers_cooler
esp32-room-a,user-a,2026-05-07T07:50:00+07:00,setpoint_change,28.18,29.26,app,,prefers_warmer
esp32-room-a,user-b,2026-05-07T08:37:00+07:00,setpoint_change,28.18,27.49,app,,prefers_cooler
esp32-room-a,user-a,2026-05-07T12:14:00+07:00,setpoint_change,28.18,29.13,app,,prefers_warmer
esp32-room-a,user-b,2026-05-07T13:03:00+07:00,setpoint_change,28.18,27.44,app,,prefers_cooler
esp32-room-a,user-a,2026-05-07T18:44:00+07:00,setpoint_change,27.88,29.58,app,,prefers_warmer
esp32-room-a,user-b,2026-05-07T19:32:00+07:00,setpoint_change,27.88,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-07T21:38:00+07:00,setpoint_change,27.88,29.55,app,,prefers_warmer
esp32-room-a,user-b,2026-05-07T22:15:00+07:00,setpoint_change,27.88,27.09,app,,prefers_cooler
esp32-room-a,user-a,2026-05-08T07:53:00+07:00,setpoint_change,28.16,29.25,app,,prefers_warmer
esp32-room-a,user-b,2026-05-08T08:36:00+07:00,setpoint_change,28.16,27.34,app,,prefers_cooler
esp32-room-a,user-a,2026-05-08T12:16:00+07:00,setpoint_change,28.16,29.13,app,,prefers_warmer
esp32-room-a,user-b,2026-05-08T13:03:00+07:00,setpoint_change,28.16,27.07,app,,prefers_cooler
esp32-room-a,user-a,2026-05-08T18:41:00+07:00,setpoint_change,27.86,29.74,app,,prefers_warmer
esp32-room-a,user-b,2026-05-08T19:37:00+07:00,setpoint_change,27.86,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-08T21:37:00+07:00,setpoint_change,27.86,29.42,app,,prefers_warmer
esp32-room-a,user-b,2026-05-08T22:23:00+07:00,setpoint_change,27.86,27.09,app,,prefers_cooler
esp32-room-a,user-a,2026-05-09T07:47:00+07:00,setpoint_change,28.2,29.26,app,,prefers_warmer
esp32-room-a,user-b,2026-05-09T08:34:00+07:00,setpoint_change,28.2,27.11,app,,prefers_cooler
esp32-room-a,user-a,2026-05-09T12:13:00+07:00,setpoint_change,28.2,29.34,app,,prefers_warmer
esp32-room-a,user-b,2026-05-09T13:07:00+07:00,setpoint_change,28.2,27.32,app,,prefers_cooler
esp32-room-a,user-a,2026-05-09T18:46:00+07:00,setpoint_change,27.9,29.68,app,,prefers_warmer
esp32-room-a,user-b,2026-05-09T19:34:00+07:00,setpoint_change,27.9,27.15,app,,prefers_cooler
esp32-room-a,user-a,2026-05-09T21:38:00+07:00,setpoint_change,27.9,29.46,app,,prefers_warmer
esp32-room-a,user-b,2026-05-09T22:20:00+07:00,setpoint_change,27.9,27.18,app,,prefers_cooler
esp32-room-a,user-a,2026-05-10T07:43:00+07:00,setpoint_change,28.19,29.23,app,,prefers_warmer
esp32-room-a,user-b,2026-05-10T08:27:00+07:00,setpoint_change,28.19,27.53,app,,prefers_cooler
esp32-room-a,user-a,2026-05-10T12:10:00+07:00,setpoint_change,28.19,29.19,app,,prefers_warmer
esp32-room-a,user-b,2026-05-10T13:02:00+07:00,setpoint_change,28.19,27.15,app,,prefers_cooler
esp32-room-a,user-a,2026-05-10T18:46:00+07:00,setpoint_change,27.89,29.54,app,,prefers_warmer
esp32-room-a,user-b,2026-05-10T19:36:00+07:00,setpoint_change,27.89,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-10T21:23:00+07:00,setpoint_change,27.89,29.4,app,,prefers_warmer
esp32-room-a,user-b,2026-05-10T22:23:00+07:00,setpoint_change,27.89,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-11T07:37:00+07:00,setpoint_change,28.18,29.24,app,,prefers_warmer
esp32-room-a,user-b,2026-05-11T08:33:00+07:00,setpoint_change,28.18,27.2,app,,prefers_cooler
esp32-room-a,user-a,2026-05-11T12:14:00+07:00,setpoint_change,28.18,29.14,app,,prefers_warmer
esp32-room-a,user-b,2026-05-11T13:00:00+07:00,setpoint_change,28.18,27.34,app,,prefers_cooler
esp32-room-a,user-a,2026-05-11T18:38:00+07:00,setpoint_change,27.88,29.66,app,,prefers_warmer
esp32-room-a,user-b,2026-05-11T19:31:00+07:00,setpoint_change,27.88,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-11T21:23:00+07:00,setpoint_change,27.88,29.47,app,,prefers_warmer
esp32-room-a,user-b,2026-05-11T22:18:00+07:00,setpoint_change,27.88,27.09,app,,prefers_cooler
esp32-room-a,user-a,2026-05-12T07:45:00+07:00,setpoint_change,28.2,29.23,app,,prefers_warmer
esp32-room-a,user-b,2026-05-12T08:23:00+07:00,setpoint_change,28.2,27.36,app,,prefers_cooler
esp32-room-a,user-a,2026-05-12T12:07:00+07:00,setpoint_change,28.2,29.08,app,,prefers_warmer
esp32-room-a,user-b,2026-05-12T13:06:00+07:00,setpoint_change,28.2,27.41,app,,prefers_cooler
esp32-room-a,user-a,2026-05-12T18:38:00+07:00,setpoint_change,27.9,29.52,app,,prefers_warmer
esp32-room-a,user-b,2026-05-12T19:30:00+07:00,setpoint_change,27.9,27.11,app,,prefers_cooler
esp32-room-a,user-a,2026-05-12T21:37:00+07:00,setpoint_change,27.9,29.45,app,,prefers_warmer
esp32-room-a,user-b,2026-05-12T22:09:00+07:00,setpoint_change,27.9,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-13T07:51:00+07:00,setpoint_change,28.19,29.45,app,,prefers_warmer
esp32-room-a,user-b,2026-05-13T08:37:00+07:00,setpoint_change,28.19,27.26,app,,prefers_cooler
esp32-room-a,user-a,2026-05-13T12:23:00+07:00,setpoint_change,28.19,29.09,app,,prefers_warmer
esp32-room-a,user-b,2026-05-13T12:54:00+07:00,setpoint_change,28.19,27.29,app,,prefers_cooler
esp32-room-a,user-a,2026-05-13T18:37:00+07:00,setpoint_change,27.89,29.4,app,,prefers_warmer
esp32-room-a,user-b,2026-05-13T19:24:00+07:00,setpoint_change,27.89,27.03,app,,prefers_cooler
esp32-room-a,user-a,2026-05-13T21:32:00+07:00,setpoint_change,27.89,29.61,app,,prefers_warmer
esp32-room-a,user-b,2026-05-13T22:15:00+07:00,setpoint_change,27.89,27.0,app,,prefers_cooler
